"target","match"
"x",NA
"y",NA
"region",NA
"water",NA
"Ash",NA
"Basswood",NA
"Beech",NA
"Birch",NA
"Cherry",NA
"Dogwood",NA
"Elm",NA
"Fir",NA
"Hemlock",NA
"Hickory",NA
"Ironwood",NA
"Maple",NA
"Oak",NA
"Pine",NA
"Spruce",NA
"Tamarack",NA
"Walnut",NA
"Other hardwood",NA
"Black gum/sweet gum",NA
"Cedar/juniper",NA
"Poplar/tulip poplar",NA
